user_id,S1_outflow_regularity,S2_committed_share,S3_commitment_load,S4_commitment_fluctuation,S5_discretionary_share,S6_debt_service,S7_payment_friction,spending_factor,_monthly_income,_monthly_outflow,_dti,_discretionary_share,T1_income_regularity,T2_income_confirmation,T3_debt_stability,T4_liability_stability,T5_savings_behaviour,preference_multiplier,stability_factor,spending_band,stability_band
user_01,81.15,58.82,0.0,90.32,56.49,100.0,90,61.6,,20283.92,0.0,0.16,0.0,85.0,100.0,97.2,0.0,1.07,54.4,mixed,watch
user_02,69.01,48.22,64.91,82.45,63.52,100.0,100,71.8,33345000.0,22939829.13,0.0,0.14,100.0,80.0,100.0,95.05,100.0,1.01,95.2,steady,dependable
user_03,88.24,54.64,63.99,86.47,39.29,100.0,100,73.2,4365000.0,2684685.05,0.0,0.2,100.0,60.0,100.0,97.82,100.0,1.07,96.0,steady,dependable
user_04,84.73,50.59,58.01,97.94,36.07,100.0,100,71.3,38190000.0,31075262.19,0.0,0.21,100.0,60.0,100.0,95.54,62.1,1.07,87.5,steady,dependable
user_05,92.5,63.95,43.85,74.68,100.0,78.11,85,75.6,14740.0,12799.64,0.07,0.04,100.0,20.0,75.0,100.0,43.88,1.06,68.9,steady,watch
user_06,87.82,35.4,74.9,89.47,0.0,100.0,90,65.8,1441.0,954.02,0.0,0.32,84.55,45.0,100.0,100.0,100.0,1.05,86.5,mixed,dependable
user_07,63.98,64.84,61.14,80.19,73.05,64.99,100,70.2,149000.0,87620.77,0.11,0.12,100.0,50.0,100.0,100.0,100.0,1.04,91.0,steady,dependable
user_08,87.66,60.15,40.21,87.58,77.22,58.53,100,70.8,1422.85,1369.63,0.12,0.11,80.22,45.0,100.0,100.0,12.47,1.07,68.3,steady,watch
user_09,78.93,54.6,68.38,83.7,52.36,100.0,100,73.9,948.31,523.87,0.0,0.17,95.88,60.0,100.0,100.0,100.0,1.07,95.2,steady,dependable
user_10,82.0,49.11,60.71,83.09,53.36,100.0,100,72.2,244853.38,195689.2,0.0,0.17,64.11,35.0,100.0,100.0,66.93,1.04,70.9,steady,dependable
user_11,69.45,52.45,43.45,77.64,53.32,100.0,100,66.2,23256000.0,23022207.27,0.0,0.17,100.0,60.0,100.0,100.0,3.35,1.06,74.9,mixed,dependable
user_12,73.01,55.71,68.93,82.77,37.37,100.0,100,70.6,55846.64,30392.39,0.0,0.21,84.59,20.0,100.0,100.0,100.0,1.04,79.2,steady,dependable
user_13,83.56,52.0,60.57,85.98,57.22,100.0,100,73.8,2224.99,1696.23,0.0,0.16,82.2,85.0,100.0,100.0,79.22,1.07,93.8,steady,dependable
