request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,"Pay ZAR 25,256 today. This keeps the ZAR 18,000 minimum available over the next 12 weeks."
request_02,17252946.03,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,"Use 3 installments of IDR 15,952,906.67, starting 8 August 2025. This leaves at least IDR 29,158,400 available."
request_03,880695.93,affordable_later,wait,2019-11-15:5491000,2019-11-15,none,"Pay IDR 5,491,000 in full on 15 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_04,9109811.59,affordable_later,wait,2024-06-15:12693000,2024-06-15,none,"Pay IDR 12,693,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 30,686,600 minimum."
request_05,1168.79,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 15,488 request. Although ZAR 1,168.79 is available today, the full amount cannot be completed safely within the 12-week forecast."
request_06,523.84,affordable_later,wait,2026-02-15:620.40,2026-02-15,none,Pay EUR 620.40 in full on 15 February 2026. Paying earlier would take the balance below the EUR 800.00 minimum.
request_07,86237.21,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,none,"Use 3 installments of INR 68,432, starting 12 September 2024. This leaves at least INR 93,000 available."
request_08,285.2,affordable_later,wait,2025-04-15:996.60,2025-04-15,none,Pay EUR 996.60 in full on 15 April 2025. Paying earlier would take the balance below the EUR 800.00 minimum.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This keeps the EUR 600.00 minimum available over the next 12 weeks.
request_10,32526.82,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 266,700 request. Although INR 32,526.82 is available today, the full amount cannot be completed safely within the 12-week forecast."
request_11,12275972.89,affordable_with_plan,full_payment,2025-05-03:13110000,2025-07-15,stop:event_949|reduce_to:event_989:665950,"Stop the cloud storage plan and reduce the weekend food delivery to IDR 665,950, then pay IDR 13,110,000 today. This leaves at least IDR 34,140,600 available."
request_12,65164,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use 3 installments of ZAR 22,590.19, starting 19 April 2026. This leaves at least ZAR 43,200 available."
request_13,445.97,affordable_later,wait,2024-05-15:941.60,2024-05-15,none,"Pay EUR 941.60 in full on 15 May 2024. Paying earlier would take the balance below the EUR 1,300.00 minimum."
request_14,616.29,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 5,414.20 request. Although EUR 616.29 is available today, the full amount cannot be completed safely within the 12-week forecast."
request_15,5.09,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,685.00 request. Although EUR 5.09 is available today, the full amount cannot be completed safely within the 12-week forecast."
request_16,122500,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"Pay INR 122,500 today. This keeps the INR 122,400 minimum available over the next 12 weeks."
request_17,243023.68,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-04-15,none,"Use 3 installments of INR 95,194.67, starting 1 March 2026. This leaves at least INR 166,100 available."
request_18,460.41,affordable_later,wait,2026-09-15:3246.10,2026-09-15,none,"Pay EUR 3,246.10 in full on 15 September 2026. Paying earlier would take the balance below the EUR 1,400.00 minimum."
request_19,30022.77,affordable_with_plan,partial_payment,2024-09-04:30022.77|2024-09-15:9637.23,2024-09-15,none,"Pay INR 30,022.77 today and the remaining INR 9,637.23 on 15 September 2024. This completes the full request and keeps the INR 92,800 minimum protected."
request_20,5545.89,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 303,700 request. Although INR 5,545.89 is available today, the full amount cannot be completed safely within the 12-week forecast."
request_21,1548.49,affordable_with_plan,full_payment,2026-04-03:1574.40,2026-04-15,stop:event_1815|reduce_to:event_1816:23.50,"Stop the online backup subscription and reduce the streaming subscription to USD 23.50, then pay USD 1,574.40 today. This leaves at least USD 1,800.00 available."
request_22,464.61,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,none,"Use 3 installments of EUR 253.59, starting 8 December 2024. This leaves at least EUR 500.00 available."
request_23,7471.74,affordable_later,wait,2025-07-15:38016,2025-07-15,none,"Pay ZAR 38,016 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 27,000 minimum."
request_24,13539.29,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 109,600 request. Although INR 13,539.29 is available today, the full amount cannot be completed safely within the 12-week forecast."
request_25,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 April 2024. None of the available options keeps the IDR 23,379,100 minimum protected."
