request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 15656000 request.
request_27,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 6670 request.
request_28,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1302.4 request.
request_29,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 51524 request.
request_30,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 775.2 request.
request_31,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 18164000 request.
request_32,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 40018 request.
request_33,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 118000 request.
request_34,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 129400 request.
request_35,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 212000 request.
request_36,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3954 request.
request_37,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 14649000 request.
request_38,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 971.3 request.
request_39,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 208600 request.
request_40,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1290.3 request.
request_41,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 38760000 request.
request_42,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 52100 request.
request_43,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 43339000 request.
request_44,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 95800 request.
request_45,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 21983000 request.
request_46,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 49450 request.
request_47,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 38114000 request.
request_48,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 45700 request.
request_49,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 34333000 request.
request_50,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 43900 request.
request_51,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2191000 request.
request_52,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 28870 request.
request_53,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1699.2 request.
request_54,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 121528 request.
request_55,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 218600 request.
request_56,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 881.56 request.
request_57,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 61446 request.
request_58,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 16226000 request.
request_59,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 140600 request.
request_60,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 199.89 request.
request_61,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 29062 request.
request_62,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 404.23 request.
request_63,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 343900 request.
request_64,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 63700 request.
request_65,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 54340 request.
request_66,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 22200 request.
request_67,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2094 request.
request_68,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2091.6 request.
request_69,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 529.1 request.
request_70,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 243900 request.
request_71,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 21451000 request.
request_72,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 11330 request.
request_73,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 71400 request.
request_74,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 5010 request.
request_75,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 28270 request.
request_76,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 4455.6 request.
request_77,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 60700 request.
request_78,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 50200 request.
request_79,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2151.6 request.
request_80,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 217500 request.
request_81,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2076 request.
request_82,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1405.2 request.
request_83,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 156200 request.
request_84,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 95400 request.
request_85,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 19304000 request.
request_86,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 46300 request.
request_87,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 487900 request.
request_88,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 26092 request.
request_89,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 13756000 request.
request_90,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2560 request.
request_91,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1927.2 request.
request_92,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 34034 request.
request_93,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1729.2 request.
request_94,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 572 request.
request_95,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 553000 request.
request_96,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 90200 request.
request_97,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 23496 request.
request_98,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 27148 request.
request_99,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 18062 request.
request_100,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 37114 request.
